,Style,Color,,,
122,Tropical Stout,7.41,Pale & IPA,,106
57,English Cider,7.17,"Light Beer, Cider, & Mead",,107
98,Standard/Ordinary Bitter,7.02,Pale & IPA,,108
172,German Leichtbier,6.93,"Blondes, Pilsner, & Lighter Ales/Lagers",,109
70,Weizenbock,6.82,White & Wheat,,110
64,Cyser (Apple Melomel),6.74,"Light Beer, Cider, & Mead",,111
152,Sahti,6.56,"Blondes, Pilsner, & Lighter Ales/Lagers",,112
40,Experimental Beer,6.53,Specialty,,113
48,British Golden Ale,6.52,"Blondes, Pilsner, & Lighter Ales/Lagers",,114
37,American Wheat or Rye Beer,6.38,White & Wheat,,115
5,Imperial IPA,6.33,Pale & IPA,,116
8,Saison,6.25,"Reds, Alt, & Other Medium Body",,117
109,Maibock/Helles Bock,6.05,"Reds, Alt, & Other Medium Body",,118
33,Belgian Pale Ale,5.93,Belgian & Spice,,119
108,Australian Sparkling Ale,5.73,"Light Beer, Cider, & Mead",,120
15,Double IPA,5.67,Pale & IPA,,121
107,Sweet Mead,5.67,"Light Beer, Cider, & Mead",,122
137,Helles Bock,5.42,"Blondes, Pilsner, & Lighter Ales/Lagers",,123
115,Dortmunder Export,5.32,"Reds, Alt, & Other Medium Body",,124
100,Mixed-Fermentation Sour Beer,5.29,"Light Beer, Cider, & Mead",,125
31,Belgian Tripel,5.14,Belgian & Spice,,126
106,Fruit Lambic,5.02,Belgian & Spice,,127
127,Specialty Smoked Beer,4.99,"Reds, Alt, & Other Medium Body",,128
138,Lambic,4.98,Belgian & Spice,,129
0,Cream Ale,4.83,"Blondes, Pilsner, & Lighter Ales/Lagers",,130
162,Festbier,4.82,"Reds, Alt, & Other Medium Body",,131
130,Apple Wine,4.8,"Light Beer, Cider, & Mead",,132
99,Czech Premium Pale Lager,4.65,Pale & IPA,,133
3,Belgian Blond Ale,4.57,Belgian & Spice,,134
145,New England Cider,4.5,"Light Beer, Cider, & Mead",,135
54,Gueuze,4.47,"Blondes, Pilsner, & Lighter Ales/Lagers",,136
59,Altbier,4.41,"Reds, Alt, & Other Medium Body",,137
129,Wild Specialty Beer,4.36,Specialty,,138
65,Metheglin,4.29,"Blondes, Pilsner, & Lighter Ales/Lagers",,139
157,Kellerbier: Pale Kellerbier,4.24,"Blondes, Pilsner, & Lighter Ales/Lagers",,140
83,Specialty IPA: White IPA,4.22,Pale & IPA,,141
71,International Pale Lager,4.15,Pale & IPA,,142
143,Straight (Unblended) Lambic,4.07,Specialty,,143
25,Weizen/Weissbier,4.05,White & Wheat,,144
105,Gose,4,Specialty,,145
76,Bière de Garde,3.91,Belgian & Spice,,146
86,American Wheat Beer,3.9,White & Wheat,,147
16,Blonde Ale,3.82,"Blondes, Pilsner, & Lighter Ales/Lagers",,148
135,Alternative Grain Beer,3.76,"Blondes, Pilsner, & Lighter Ales/Lagers",,149
163,Brett Beer,3.7,"Blondes, Pilsner, & Lighter Ales/Lagers",,150
24,Witbier,3.67,White & Wheat,,151
147,Lichtenhainer,3.62,"Blondes, Pilsner, & Lighter Ales/Lagers",,152
7,Bohemian Pilsener,3.61,"Blondes, Pilsner, & Lighter Ales/Lagers",,153
26,Trappist Single,3.6,Belgian & Spice,,154
131,Czech Pale Lager,3.6,"Blondes, Pilsner, & Lighter Ales/Lagers",,155
52,Munich Helles,3.4,"Blondes, Pilsner, & Lighter Ales/Lagers",,156
12,Premium American Lager,3.3,Standard Ales & Lagers,,157
45,Standard American Lager,3.21,Standard Ales & Lagers,,158
53,Classic American Pilsner,3.13,"Blondes, Pilsner, & Lighter Ales/Lagers",,159
13,Belgian Golden Strong Ale,3.11,"Blondes, Pilsner, & Lighter Ales/Lagers",,160
167,German Helles Exportbier,3.09,"Blondes, Pilsner, & Lighter Ales/Lagers",,161
93,Dry Mead,3.02,"Light Beer, Cider, & Mead",,162
154,Piwo Grodziskie,3.01,White & Wheat,,163
95,Weissbier,2.91,White & Wheat,,164
139,Pre-Prohibition Lager,2.9,"Blondes, Pilsner, & Lighter Ales/Lagers",,165
50,Berliner Weisse,2.89,White & Wheat,,166
23,Kölsch,2.85,"Blondes, Pilsner, & Lighter Ales/Lagers",,167
116,German Pils,2.84,"Blondes, Pilsner, & Lighter Ales/Lagers",,168
17,Light American Lager,2.83,"Blondes, Pilsner, & Lighter Ales/Lagers",,169
128,Open Category Mead,2.81,"Light Beer, Cider, & Mead",,170
125,French Cider,2.7,"Light Beer, Cider, & Mead",,171
91,American Lager,2.58,Standard Ales & Lagers,,172
56,American Light Lager,2.48,"Blondes, Pilsner, & Lighter Ales/Lagers",,173
146,Pyment (Grape Melomel),0,"Light Beer, Cider, & Mead",,174
156,Alternative Sugar Beer,0,"Light Beer, Cider, & Mead",,175
161,Traditional Perry,0,"Light Beer, Cider, & Mead",,176
